2313,PHI (משרת את הוט ופרטנר),NS6537B,עזריאל,מושב עזריאל,מ.א לב השרון,לב השרון,197122,684308,תורן קרקעי,05/04/2022,02/06/2022,11/04/2023,יש היתר,2,0,צפויה במבנה מגורים חד קומתי במרחק 50 מטר,http://documents.sviva.gov.il/B001_1_NS6537B_20220405_0959.pdf,http://documents.sviva.gov.il/B002_1_NS6537B_20220602_1734.pdf,דור  2 3 4,34.967433939710794,32.25218552803553
2317,PHI (משרת את הוט ופרטנר),NS3226Q,הדר עם,הדר עם,מ.א עמק חפר,עמק חפר,191468,695161,תורן קרקעי,05/06/2019,28/08/2019,13/04/2023,יש היתר,2,0,במתחם משתלת נקודת חן במרחק 61 מטר,http://documents.sviva.gov.il/B001_1_NS3226Q_20190602_1131.pdf,http://documents.sviva.gov.il/B002_1_NS3226Q_20190904_0935.pdf,דור  2 3 4,34.90711621269019,32.349926159388595
2470,PHI (משרת את הוט ופרטנר),NS3222E,בחן,בחן,מ.א עמק חפר,עמק חפר,201033,695129,תורן קרקעי,23/03/2020,25/11/2020,03/11/2020,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום.,http://documents.sviva.gov.il/B001_1_NS3222E_20200323_1026.pdf,http://documents.sviva.gov.il/B002_1_NS3222E_20201125_1539.pdf,דור  2 3 4,35.008726842358506,32.34983614358497
2691,סלקום,700,הדר עם,צומת  רופין,עמק חפר,עמק חפר,191487,695189,תורן קרקעי,07/12/2020,27/01/2021,06/11/2022,יש היתר,2.149,0.38,במבנה קרקע,http://documents.sviva.gov.il/B001_2_700_20201207_0928.pdf,http://documents.sviva.gov.il/B002_2_700_20210127_1331.pdf,דור 2 3 4 5,34.90731722537491,32.35017912418304
2782,סלקום,4114,כפר מונש,בין כפר מונש לבית הלוי,עמק חפר,עמק חפר,192815,695601,תורן קרקעי,09/09/2021,04/05/2023,28/03/2023,יש היתר,2.889,0.481,קרקע,http://documents.sviva.gov.il/B001_2_4114_20210909_1437.pdf,http://documents.sviva.gov.il/B002_2_4114_20230504_1303.pdf,דור 2 3 4,34.921413119004015,32.353926763619675
3100,סלקום,4121,כפר יונה,סמוך לבית העלמין,כפר יונה,כפר יונה,193165,692751,תורן קרקעי,07/02/2021,16/01/2023,19/10/2022,יש היתר,3.453,0.692,מבנה,http://documents.sviva.gov.il/B001_2_4121_20230822_1639.pdf,http://documents.sviva.gov.il/B002_2_4121_20230116_2116.pdf,דור 2 3 4 5,34.92521028081778,32.328235172935216
3127,סלקום,4297,עזריאל,בשדות המושב,לב השרון,לב השרון,196225,685598,תורן קרקעי,24/09/2020,15/01/2023,20/12/2022,יש היתר,1.79,0.22,קרקע,http://documents.sviva.gov.il/B001_2_4297_20200924_0908.pdf,http://documents.sviva.gov.il/B002_2_4297_20230115_1509.pdf,דור 2 3 4,34.9578838073984,32.26380007711903
3438,סלקום,888,גנות הדר,צומת השרון (בית ליד),עמק חפר,עמק חפר,191155,692308,תורן קרקעי,31/05/2011,06/07/2020,21/04/2020,יש היתר,3.951,0.898,קרקע,,http://documents.sviva.gov.il/B002_2_888_20200706_1002.pdf,דור 2 3 4,34.90387623097168,32.3241913810924
3607,PHI (משרת את הוט ופרטנר),NS3237C,בארותיים,משאבת מים - ליד בארותיים,מ.א עמק חפר,עמק חפר,197705,692252,תורן קרקעי,02/06/2019,02/02/2020,08/11/2021,יש היתר,0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום.,http://documents.sviva.gov.il/B001_1_NS3237C_20190602_1132.pdf,http://documents.sviva.gov.il/B002_1_NS3237C_20200202_0745.pdf,דור  2 3 4,34.973439045766746,32.32383288198555
3799,סלקום,976,אחיטוב,ליד החממות,עמק חפר,עמק חפר,199840,698672,תורן קרקעי,26/08/2021,02/03/2023,08/11/2022,יש היתר,10.38,1.66,קרקע,http://documents.sviva.gov.il/B001_2_976_20210826_0946.pdf,http://documents.sviva.gov.il/B002_2_976_20230302_1629.pdf,דור 2 3 4,34.99598017281382,32.3817648977345
